id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-11-18T14:21:33;Savings Account Dam;PAID;PAYPAL;2019-11-19T07:43:04;96990
2;parsing red Chips;2019-11-19T04:40:12;methodology Albania;CANCELLED;CASH_ON_DELIVERY;2019-11-19T00:16:44;23277
3;Licensed Savings Account;2019-11-18T23:53:33;Planner Canyon;CANCELLED;CREDIT_CARD;2019-11-19T03:31:49;68423
4;infomediaries;2019-11-19T06:08:34;Buckinghamshire Games;ISSUED;CREDIT_CARD;2019-11-19T04:38:06;3131
5;synthesizing Views e-enable;2019-11-18T10:49:55;capacitor archive;CANCELLED;CASH_ON_DELIVERY;2019-11-18T18:59:23;35675
6;mission-critical Faroe Islands Plastic;2019-11-18T13:49:09;Small;PAID;CREDIT_CARD;2019-11-18T16:06:26;71134
7;1080p Checking Account Identity;2019-11-18T17:26:45;Internal;CANCELLED;CREDIT_CARD;2019-11-18T18:52:50;63755
8;COM;2019-11-18T21:44:19;Frozen bus;PAID;PAYPAL;2019-11-18T22:48:38;11089
9;partnerships;2019-11-19T04:13:49;Dynamic;PAID;CASH_ON_DELIVERY;2019-11-19T04:11:53;22879
10;Generic neutral Salad;2019-11-18T10:45:33;virtual deposit;ISSUED;PAYPAL;2019-11-19T01:26:22;90682
