id;date;details;sent_date;format;user_id;product_id
1;2019-11-19T00:04:56;Directives application Home Loan Account;2019-11-19T05:19:36;PARCEL;60111;14286
2;2019-11-18T16:04:39;Movies Producer;2019-11-18T13:05:34;EMAIL;30424;61165
3;2019-11-18T20:28:38;web-readiness;2019-11-19T02:04:54;EMAIL;29214;97375
4;2019-11-19T00:16:43;Common;2019-11-18T14:13:38;PARCEL;59241;46676
5;2019-11-19T07:57:23;Credit Card Account Table Small Frozen Sausages;2019-11-18T09:53:47;PARCEL;9767;23089
6;2019-11-18T16:38:59;infomediaries;2019-11-19T06:08:32;EMAIL;90932;39106
7;2019-11-19T02:51:38;invoice;2019-11-19T01:35:25;EMAIL;18485;3131
8;2019-11-18T09:48:05;connect Markets Chief;2019-11-18T18:43:18;PARCEL;4522;96117
9;2019-11-19T01:15:48;scale interactive generating;2019-11-19T00:30:33;EMAIL;80219;16526
10;2019-11-19T07:16:55;Administrator;2019-11-18T14:32:15;PARCEL;81546;19884
